"AgeCurrent","Location","SchoolType","SchoolLocation","SchoolYear","SchoolYearTEXT","SchoolFinish","IdentityEthnicity","IdentityRace","IdentityReligion","IdentityDisability","IdentityNeuro","IdentitySexuality","IdentitySexualityTEXT","IdentityGender","IdentityGenderTEXT","IdentitySex","IdentitySexTEXT","MAttraction","MAttractionTEXT","MSelfIdentity","MSelfIdentityTEXT","MSAHom","MSAHomTEXT","MSAHet","MSAHetTEXT","MRHom","MRHomTEXT","MRHet","MRHetTEXT","MComingOut","MComingOutTEXT","MComingOutWho2","MComingOutWho2TEXT","MComingOut3","MComingOutFamily4","MComingOutFamily4TEXT","RPDS","ACQ","IntHom1","IntHom2","IntHom3","HSS1Q1","HSS1Q2","HSS2Q1","HSS2Q2","HSS3Q1","HSS3Q2","HSS4Q1","HSS4Q2","HSS5Q1","HSS5Q2","HSS6Q1","HSS6Q2","HSS7Q1","HSS7Q2","HSS8Q1","HSS8Q2","HSS9Q1","HSS9Q2","HSS10Q1","HSS10Q2","HSS11Q1","HSS11Q2","HSS12Q1","HSS12Q2","HSS13Q1","HSS13Q2","HSS14Q1","HSS14Q2","ACQ2","DERS1","DERS2","DERS3","DERS4","DERS5","DERS6","DERS7","DERS8","DERS9","DERS10","DERS11","DERS12","DERS13","DERS14","DERS15","DERS16","SASI1","SASI2","SASI3","SASI4","SASI5","SASI6","SASI7","SASI8","SASI9","SASI10","RaceDemog","ReligionDemog","GenderGroup","SexualityGroup","HSS1","HSS2","HSS3","HSS4","HSS5","HSS6","HSS7","HSS8","HSS9","HSS10","HSS11","HSS12","HSS13","HSS14","SMA_RSS","IntHom","Clarity","Goals","Impulse","Strategies","Nonacceptance","DERS","goodsasi","badsasi","SASI"
19,8,2,2,2,NA,"5","10","6",8,"4","1","9",NA,"6","Agender","2",NA,1,12,1,14,1,18,2,NA,2,NA,1,13,1,14,1,NA,2,1,15,3,5,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,3,5,4,5,4,5,5,5,5,5,5,5,5,4,4,4,3,3,3,4,4,3,4,3,3,4,4,4,4,4,5,3,4,4,4,4,4,4,4,4,"6","2","3","3",4,4,4,4,4,4,4,3,20,20,25,25,25,25,12.2142857142857,6,8,11,9,19,11,58,21,19,40
24,7,3,1,2,NA,"6","10","6",8,"5","1","1,7,9",NA,"3",NA,"2",NA,1,17,1,17,1,21,1,21,1,21,2,NA,1,17,5,NA,2,1,17,3,5,1,1,1,3,2,2,1,2,2,3,2,2,2,2,1,1,1,2,2,6,2,6,3,6,2,4,2,4,3,5,4,4,4,4,5,2,3,4,5,3,5,5,3,5,5,5,5,5,5,1,4,5,4,4,4,5,5,4,"6","2","3","3",6,2,4,6,4,2,1,4,12,18,12,8,12,20,7.92857142857143,3,8,15,8,22,15,68,22,19,41
21,7,1,1,2,NA,"1","10,11","6",8,"6","1","2,6,7",NA,"3,4,5",NA,"2",NA,1,16,1,16,2,NA,2,NA,2,NA,2,NA,1,18,1,NA,2,2,NA,4,5,3,4,1,2,2,4,2,3,1,1,1,2,1,4,3,1,1,3,3,6,5,4,4,6,5,2,3,1,1,2,2,4,2,2,3,2,2,3,2,4,4,4,2,2,3,5,4,4,4,3,4,3,3,3,4,4,4,4,"6","2","3","2",4,8,3,1,2,12,1,9,30,16,30,6,1,4,9.07142857142857,8,4,9,8,16,11,48,19,17,36
16,3,4,3,1,11,NA,"10","6",2,"4","1","6,7",NA,"3,5",NA,"2",NA,1,11,1,12,1,14,1,15,1,14,1,12,1,11,1,NA,1,1,13,2,5,1,1,1,2,1,6,1,3,2,2,3,1,1,2,1,1,1,6,6,3,4,2,2,1,2,3,4,2,2,6,6,4,5,5,2,3,3,2,2,3,3,3,3,2,5,3,3,5,5,2,5,2,5,2,5,5,5,5,"6","1","3","2",2,6,6,6,1,2,1,36,12,4,2,12,4,36,9.28571428571429,3,10,7,9,15,11,52,25,16,41
17,8,1,2,1,12,NA,"10,12","6",8,"5","2","4,6,7,8,10",NA,"1",NA,"2",NA,1,11,1,12,2,NA,2,NA,2,NA,1,10,1,12,1,NA,2,1,14,5,5,3,2,3,4,2,4,2,6,3,5,4,5,4,5,4,3,2,5,5,6,5,6,5,4,3,3,3,5,3,6,4,4,5,5,3,2,5,5,4,4,5,5,5,5,5,5,5,5,4,1,5,4,2,2,2,5,4,1,"6","2","5","2",8,8,18,20,20,20,6,25,30,30,12,9,15,24,17.5,8,10,12,11,25,15,73,17,13,30
17,9,2,1,1,12,NA,"3,10","6",8,"4","1","6",NA,"2,5",NA,"1",NA,1,12,1,11,2,NA,2,NA,2,NA,2,NA,1,15,1,NA,2,1,16,3,5,2,1,1,5,3,3,2,2,2,5,3,1,1,6,5,3,2,2,2,6,6,6,6,6,6,6,6,4,4,6,6,4,4,2,5,3,5,5,5,2,4,5,2,5,4,5,5,5,5,4,5,5,5,4,4,3,4,2,"6","2","4","2",15,6,4,15,1,30,6,4,36,36,36,36,16,36,19.7857142857143,4,6,15,7,25,13,66,23,18,41
16,9,1,3,1,11,NA,"10","6",8,"5","1","6,8",NA,"1",NA,"1",NA,1,12,1,14,1,13,2,NA,1,15,1,14,1,13,2,NA,1,1,13,3,5,2,2,1,3,4,5,4,6,5,5,5,3,2,5,4,2,2,3,3,1,1,1,1,2,1,5,5,4,3,5,4,4,3,3,4,4,5,5,4,5,5,5,5,4,4,5,4,4,5,2,5,5,5,5,4,5,5,5,"6","2","1","2",12,20,30,25,6,20,4,9,1,1,2,25,12,20,13.3571428571429,5,6,12,14,23,14,69,24,22,46
20,7,1,2,2,NA,"1","6,12","2",8,"5","2","1",NA,"5",NA,"2",NA,1,17,1,18,2,NA,2,NA,2,NA,2,NA,1,20,2,NA,2,2,NA,2,5,1,1,1,4,4,4,3,5,4,4,3,1,1,6,5,2,1,6,4,6,5,6,6,6,5,6,6,5,5,6,6,4,4,3,4,3,5,3,4,3,5,3,2,3,5,5,4,4,5,5,5,5,5,5,5,5,5,5,"2","2","5","1",16,12,20,12,1,30,2,24,30,36,30,36,25,36,22.1428571428571,3,7,12,8,20,13,60,25,25,50
18,4,1,1,2,NA,"7","10","6",8,"4","1","4,7",NA,"1,5",NA,"2",NA,1,13,1,13,2,NA,1,14,1,15,1,14,1,12,1,NA,1,1,14,3,5,2,2,2,3,2,3,2,2,1,3,1,2,1,4,2,3,2,4,2,5,2,5,2,6,3,5,2,3,2,4,3,4,4,3,5,2,4,3,5,2,4,4,2,4,4,4,5,5,5,4,4,5,5,5,5,5,5,5,"6","2","5","1",6,6,2,3,2,8,6,8,10,10,18,10,6,12,7.64285714285714,6,7,15,6,20,12,60,24,24,48
23,7,3,2,2,NA,"2","10","6",8,"5","2","2",NA,"2",NA,"2",NA,1,17,1,20,1,22,1,14,1,22,1,19,1,21,1,NA,1,1,22,3,5,1,1,3,2,1,1,1,3,2,2,2,2,2,3,3,1,1,2,4,5,1,5,5,5,1,5,4,2,2,3,3,4,2,2,3,1,2,2,4,2,3,3,2,2,2,3,3,3,5,4,4,4,4,4,5,5,5,4,"6","2","2","1",2,1,6,4,4,9,1,8,5,25,5,20,4,9,7.35714285714286,5,4,10,5,12,8,39,23,21,44
